Neighborhood Cluster Name,Notes,OTT Raw Data 2,Count - Neighborhood (from OTT Codes)
Northside,"Contains: Northside, North Downtown, Fayette Park, Transylvania, Coolavin
","1800,1335,1352,509,1279,1027,1160,1283,1679,1581,1632,2344,2367,1392,2286,163,1538,108,1554,891,1388,323,1268,572,169,2098,1024,1528,1775,1220,2103,833,315,2096,311,1945,2366,1151,700,1998,665,1052,1293,1276,472,455,2291,1841,454,77,19,916,2142,683,354,953,41,387,740,252,1935,1092,1825,1076,541,948,801,153,1968,2295,1322,812,1838,643,1805,469,1033,2224,2013,1147,2315,560,222,2385",84
Hartland / Squires,"Contains: Buckhorn, Hartland, Hunting Hills, Squire Oak, Tanbark, Woodfield, Ellerslie","1017,1902,2049,468,2177,382,1116,3,1615,769,2248,1898,479,1587,392,89,364,446,1110,1136,2404,2239,495,157,2067,1591,1776,963,1098,1340,1862,2378,274,248,256,2192,867,1247,1062,310,474,1424,374,1259,1337,581,1324,2364,195,908,1217,676,1026,1079,1182,1446,2183,644,434,1499,1473,1227,1567,400,2196,651,979,1622,1054,1849,2078,1212,329,171,1748,2127,1549,451,1628,954,624,1248,1320,1258",84
Picadome / Pensacola,"Contains: Picadome, Pensacola Park, Rosemont Garden, Penmoken Park, Seven Parks, WGPL","2372,1363,1085,107,2068,815,4,64,869,629,21,603,1441,568,1013,1923,2269,1909,1828,13,2190,929,501,1277,2257,1325,1391,1374,1161,1430,130,2107,365,2024,2337,74,1216,156,883,1871,1608,2219,2394,2361,713,693,1518,380,24,1834,2082,1483,2347,141,1802,1457,849,1708,187,1427,2172,959,2260,1434,2135,1799,1146,155,770,1994,516,449,2289,1489,752,2007,1974,1347,138,744,1516,405,1331",83
Downtown ,"Contains: Davis Bottom, Downtown, Gratz Park, Historic Western Suburb, South Hill, Woodward Heights","754,1927,736,1222,1955,363,1995,218,761,503,906,2075,1878,182,802,435,575,1295,687,1425,674,2298,221,663,1359,2185,804,1870,893,1202,2061,395,486,724,1653,1886,1073,961,1130,666,292,1597,649,1061,1120,642,436,2373,1782,1213,2233,1635,630,253,510,214,566,1815,224,320,1873,1252,2327,678,2166,442,332,301,2321,1350,1844,1866,114,1464,1001,2226,1785,1914,1243,1207,1390",81
Masterson / McConell's Trace / Coldstream,"Contains: Masterson Station, Greendale, McConell's Trace, Sandersville, and Summerfield","1505,1111,1875,1659,1042,149,520,942,1124,489,2308,1765,428,544,1879,1742,2368,1009,2243,1605,2094,1194,903,1577,1423,1263,2198,1115,220,2253,1818,358,194,2041,1254,1176,1481,20,1700,735,1291,1432,668,2097,750,321,753,2328,201,1891,1305,1727,507,1668,1118,2164,886,1476,946,2370,1080,308,100,1511,9,2144,1921,262,1831,2036,1233,2270,772,326,299,104,2151,1175,920,783",80
Wyndham,"Contains: Firebrook, Copperfield, Dogwood Trace, Millpond, Plantation, Willow Oak, Wyndham Hills, Copper Trace
","2397,2046,158,2057,1418,1485,1521,2008,2293,1125,1338,1262,2355,1048,2132,1299,174,871,2409,1519,497,2034,626,2193,200,1029,1112,350,1665,816,460,1455,562,973,984,386,1625,853,1853,167,2088,1071,129,681,2267,797,1951,2070,249,1604,478,1540,554,2133,2203,177,763,1758,661,2092,1005,168,828,538,1135,1896,1245,1404,2223,1539,1429,2381,671,531,922",75
Idle Hour / Woodhill,"Contains: Fairway, Danby Corners, Idle Hour, Woodhill","1074,1044,1382,808,1433,2303,2379,29,185,2376,128,2102,204,611,1497,1364,1693,760,1369,2022,1192,1180,2028,809,144,992,894,137,865,125,11,1309,874,1656,1094,2319,147,1465,140,1454,937,1286,420,483,2054,2066,1046,353,1139,582,1876,964,2048,1345,2306,1428,2393,2005,2343,173,1716,1928,254,1000,1357,1840",66
Southland,"Contains: Southland, Coventry, Hill n Dale, Open Gates, Lafayette, Deerfield, Pasadena, and Rosemill","103,691,2287,2296,1964,659,1808,2382,1574,2386,1966,426,627,601,1835,2330,1436,1163,284,2222,1072,1272,2093,1682,1260,241,1712,1237,596,60,242,1490,2240,2316,377,1792,2313,1373,1854,465,579,1711,2342,1096,1193,861,266,2388,150,1963,373,413,1911,349,990,2113,2396,261,730,1816",60
Cardinal Valley / Alexandria,"Contains: Cardinal Valley, Hamilton Park, Townley Park, Distillery District, and Warfield","921,645,1642,1284,1817,1877,1733,2137,1155,1970,788,2158,939,458,1477,26,2045,2058,669,1144,727,1239,548,1244,1131,2299,535,287,2284,2101,179,1474,798,1049,1236,2173,1205,2184,2136,30,1106,1718,634,907,1571,944,1710,742,1065,2016,557,577,578,583,306,882,999,902,404",59
Hamburg / Greenbriar,"Contains: Blackford, Greenbriar, Hamburg, Polo Club, West Wind","1939,1050,1884,1211,1086,1500,2023,1012,584,369,834,1231,1959,1621,599,1868,796,2281,1495,1282,682,419,529,677,1942,1992,1307,1064,863,837,166,814,343,219,1383,1513,1083,1996,351,235,1408,2390,172,1812,1478,2011,846,1745,982,390,1523,1371,1084,1023,2002,981,1827,2145,1598",59
Lakeview / Chinoe,"Contains: Lakewood, Chinoe, Edgewater, Mount Tabor, Patchen, Shriners, The Island","276,2273,1223,2331,2228,347,1821,1308,1493,1529,1707,980,1971,1957,1132,1740,901,1772,1833,44,381,1664,738,1564,2026,1346,806,1348,1414,2362,175,23,716,398,2263,1271,2208,960,482,1811,134,2019,858,928,1599,1275,2025,832,2084,1795,63,1569,371,85,943",55
Castlewood / Loudon,"Contains: Brucetown, Meadows, Castlewood, Loudon ","1129,1595,958,1826,1134,1883,996,1763,120,2169,61,1978,2375,464,2191,27,864,1006,2278,246,1869,787,439,2392,951,1850,212,813,1341,1045,515,855,989,2252,2211,840,1226,1743,513,1253,105,1156,417,1773,2395,1089,1487,1737,1575,1174,2126",51
Kirklevington,"Contains: Belleau Woods, Blueberry Hill, Devondale, Kirklevington, The Summit, Stoneybrook, Walden, Whispering Heights, Wilson Downing, Camelot, Laredo","1750,203,552,2148,36,821,1148,360,165,1962,1852,1897,1958,1008,1771,2055,539,2053,1570,1985,2255,1913,2032,1975,1317,57,1936,84,731,2279,810,1699,1576,2123,597,1302,1179,2374,2063,1729,121,31,1482,2346,2363,1925,648",47
Andover,"Contains: Andover, Autumn Ridge, Brighton East, Mapleleaf, Pleasant Ridge, Still Meadow, Stuart Hall","622,885,1114,2318,437,1460,612,917,2100,2348,1221,258,1141,2285,1671,1526,910,1861,831,88,2181,359,2038,1845,206,237,2152,1413,2358,1790,1496,523,1999,660,1807,408,427,430,1199,393,48,819,785,711,653,1421,2338",47
Bryan Station / Eastland,"Contains: Bryan Station, Deep Springs, Kenawood, Rookwood, Eastland","2171,930,1961,720,919,588,712,476,32,602,37,1702,83,1032,401,1553,774,2179,1889,123,1940,2294,766,1178,818,836,922,1620,2369,267,1578,340,1752,1214,851,245,1749,977,189,765",40
East End,"Contains: Downtown, East End, MLK","375,732,1965,1298,281,884,2411,636,1011,2242,705,2087,1590,1015,776,122,1117,1634,1398,1517,690,81,2332,1552,2,318,1977,498,1133,444,40,2399,370,655,1929,966,2052,2352,1287",39
Rural,"Contains: Rural, Russell Cave, Westmorland","1376,378,993,1922,1976,456,1395,2140,2018,1687,1488,1053,432,1238,303,1420,826,106,467,1188,784,620,139,1273,1484,1167,1218,296,1631,799,585,706",32
Winburn / Radcliffe,"Contains: Elkhorn Park, Green Acres, Griffin Gate, Joyland, Radcliffe, Marlboro, Winburn","786,1865,2359,1990,675,1542,384,25,1039,42,2258,1422,2134,309,1766,2194,1448,2162,2116,2120,305,1823,2210,570,1057,590,1303,1858,638,1637,98",31
Campus,"Contains: Campus, University of Kentucky","1507,657,569,411,1920,1165,2043,777,1281,1162,1546,1109,689,608,1030,1445,1224,1278,250,2170,2288,1607,696,2216,1760,1989,244,1973,600,15,1070",31
Meadowthorpe,"Contains: Meadowthorpe, Leestown Road, Melrose, Sanders Garden","1536,860,457,2035,1311,795,197,1323,873,313,791,119,1660,1948,53,704,269,1848,1315,1895,264,2175,1555,592,1588,1181",26
Georgetown,"Contains: Georgetown Street, Hope Center, West End","2076,2073,180,2400,2335,1452,461,1228,794,1407,1189,1522,978,330,888,679,2153,1613,209,1661,154,686,280,739,904,2111",26
Liberty,"Contains: Liberty
","1626,1187,1055,186,1472,1509,647,416,1264,1031,412,1617,1881,1372,1600,1703,1592,1234,1584,1585",20
